frames_dir,transcript
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6493_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6494_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6495_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6496_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6497_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6498_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6499_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\help\train\IMG_6500_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6480_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6481_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6482_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6484_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6485_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6486_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6488_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\no\train\IMG_6489_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6524_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6525_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6526_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6528_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6530_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6531_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6532_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\pain\train\IMG_6533_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6503_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6504_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6505_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6506_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6507_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6508_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6509_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6510_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6511_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\water\train\IMG_6512_MOV,water
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6460_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6461_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6463_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6464_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6465_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6466_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6467_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 1\yes\train\IMG_6468_MOV,yes
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2578_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2579_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2580_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2581_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2582_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2583_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2584_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\help\train\IMG_2585_MOV,help
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2539_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2540_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2541_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2542_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2544_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2545_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2546_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\no\train\IMG_2547_MOV,no
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2562_MOV,pain
C:\Silent Speech Recognition Project\Dataset\custom_processed1\speaker 10\pain\train\IMG_2563_MOV,pain
