learner_id,course_id,learner_rating,short_description
34662788,1337482,3.5,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
36318778,1337482,3.5,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
4601412,1337482,5.0,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
34548360,1337482,5.0,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
14898298,1337482,4.5,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
36221688,1337482,4.0,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
5199952,1337482,4.0,UPDATED OCTOBER 2017: Develop Your Social Skills and Understand the Psychology of the Culture Wars
35846728,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
35846728,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
12174698,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
12174698,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
37768144,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
37768144,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
35894358,497736,3.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
35894358,497736,3.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
2944778,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
2944778,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
26832172,497736,4.5,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
26832172,497736,4.5,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
34593822,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
34593822,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
36511244,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
36511244,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
29108974,497736,3.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
29108974,497736,3.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
36614054,497736,2.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
36614054,497736,2.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
34857578,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
34857578,497736,5.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
24123574,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
24123574,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
27549662,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
27549662,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
26882272,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
26882272,497736,4.0,"Understand How People Think, Feel, and Behave in this Complete Introduction to Social Psychology"
