learner_id,course_id,learner_rating,short_description
11763,3100,5,how to eat fried worms
16402,2393,3,"echo burning (jack reacher, #5)"
29264,683,4,a bend in the road
13248,61,3,the girl on the train
15647,274,4,the godfather
46691,102,5,where the wild things are
950,1492,4,the complete poems of emily dickinson
27854,5575,4,halo: the fall of reach
51056,965,4,"thoughtless (thoughtless, #1)"
3656,130,2,the old man and the sea
13721,1007,5,my horizontal life: a collection of one-night stands
39503,3480,4,"zen mind, beginner's mind: informal talks on zen meditation and practice"
20414,578,3,christine
16382,2692,2,"beautiful oblivion (the maddox brothers, #1)"
1346,476,2,the world according to garp
33189,761,3,twenties girl
17304,3112,4,"private (private, #1)"
37947,1021,4,"animal, vegetable, miracle: a year of food life"
9622,793,5,from the mixed-up files of mrs. basil e. frankweiler
38616,49,1,"new moon (twilight, #2)"
37865,1195,5,the round house
19358,2968,4,"the merchant of death (pendragon, #1)"
43637,496,4,"the clan of the cave bear (earth's children, #1)"
23952,2609,5,"midnight riot (peter grant, #1)"
45418,8070,5,"gone (michael bennett, #6)"
4320,227,4,the client
36439,5218,5,"devil may cry (dark-hunter, #11)"
23739,677,5,"born to run: a hidden tribe, superathletes, and the greatest race the world has never seen"
23707,6027,3,"naruto, vol. 11: impassioned efforts (naruto, #11)"
50894,890,4,second foundation (foundation #3)
7667,824,4,"oedipus rex  (the theban plays, #1)"
50042,145,3,deception point
45414,2677,4,"thief of time (discworld, #26; death, #5)"
20357,510,4,"the great hunt (wheel of time, #2)"
51700,363,4,"anna and the french kiss (anna and the french kiss, #1)"
40643,7999,4,"safe with me (with me in seattle, #5)"
39279,2,4,"harry potter and the sorcerer's stone (harry potter, #1)"
11374,106,5,bossypants
15220,816,2,"wolf hall (thomas cromwell, #1)"
37759,2330,5,"mile high (up in the air, #2)"
5394,1316,1,the story of edgar sawtelle
3086,52,4,"eclipse (twilight, #3)"
4153,199,4,marley and me: life and love with the world's worst dog
38475,2943,4,the weird sisters
5676,1368,4,"small gods (discworld, #13)"
26336,1871,5,"rules of prey (lucas davenport, #1)"
44502,34,2,"fifty shades of grey (fifty shades, #1)"
6038,3713,4,beach road
4137,2942,3,"tai-pan (asian saga, #2)"
14082,1469,5,amelia bedelia  (amelia bedelia #1)
18463,527,5,"living dead in dallas (sookie stackhouse, #2)"
26402,53,4,"eragon (the inheritance cycle, #1)"
5492,144,4,"unbroken: a world war ii story of survival, resilience, and redemption"
42336,2116,3,"a darker shade of magic (shades of magic, #1)"
20291,4049,5,"earth unaware (the first formic war, #1)"
2096,829,5,a room with a view
13046,840,5,"shōgun (asian saga, #1)"
5067,11,4,the kite runner
44564,2777,3,the end of your life book club
8307,1205,4,hard-boiled wonderland and the end of the world
26933,13,4,1984
19760,1111,5,mr. maybe
46399,296,3,the very hungry caterpillar board book
39,986,2,the girl who loved tom gordon
11095,452,3,"the 5th wave (the 5th wave, #1)"
21826,730,3,the pearl
20159,2916,5,"partials (partials sequence, #1)"
26336,701,3,mrs. dalloway
47132,8141,5,story of o (story of o #1)
30329,6003,4,the five chinese brothers
32369,874,5,brain on fire: my month of madness
17624,3989,2,"the dark elf trilogy collector's edition (forgotten realms: dark elf trilogy, #1-3; legend of drizzt, #1-3)"
50828,3465,5,"rich man, poor man"
41975,5693,4,stuff white people like: a definitive guide to the unique taste of millions
37699,135,5,"a storm of swords (a song of ice and fire, #3)"
3087,114,3,tuesdays with morrie
11230,184,5,matilda
15220,1462,5,the orphan master's son
42666,4883,5,the little red hen (little golden book)
6490,481,4,"wizard's first rule (sword of truth, #1)"
11861,5861,4,"appointment with death (hercule poirot, #19)"
28625,2217,5,"hallowed (unearthly, #2)"
17595,234,5,speak
9601,8839,2,"hidden bodies (you, #2)"
21682,6169,5,"blindsight (firefall, #1)"
12872,2542,4,"ten tiny breaths (ten tiny breaths, #1)"
11279,128,4,steve jobs
36340,1280,4,the aeneid
14491,2807,5,"the good, the bad, and the undead (the hollows, #2)"
24426,5298,3,and another thing...
25360,470,5,i am malala: the story of the girl who stood up for education and was shot by the taliban
22008,1986,3,the innocent man: murder and injustice in a small town
20466,272,5,like water for chocolate
28238,467,3,the brief wondrous life of oscar wao
42397,36,5,"the giver (the giver, #1)"
10770,911,3,gerald's game
35038,8275,4,"the black unicorn (magic kingdom of landover, #2)"
20728,1773,5,"reckless (thoughtless, #3)"
