learner_id,course_id,learner_rating,short_description
1488844,1,3,Dinosaur Planet
822109,1,5,Dinosaur Planet
885013,1,4,Dinosaur Planet
30878,1,4,Dinosaur Planet
823519,1,3,Dinosaur Planet
893988,1,3,Dinosaur Planet
124105,1,4,Dinosaur Planet
1248029,1,3,Dinosaur Planet
1842128,1,4,Dinosaur Planet
2238063,1,3,Dinosaur Planet
1503895,1,4,Dinosaur Planet
2207774,1,5,Dinosaur Planet
2590061,1,3,Dinosaur Planet
2442,1,3,Dinosaur Planet
543865,1,4,Dinosaur Planet
1209119,1,4,Dinosaur Planet
804919,1,4,Dinosaur Planet
1086807,1,3,Dinosaur Planet
1711859,1,4,Dinosaur Planet
372233,1,5,Dinosaur Planet
1080361,1,3,Dinosaur Planet
1245640,1,3,Dinosaur Planet
558634,1,4,Dinosaur Planet
2165002,1,4,Dinosaur Planet
1181550,1,3,Dinosaur Planet
1227322,1,4,Dinosaur Planet
427928,1,4,Dinosaur Planet
814701,1,5,Dinosaur Planet
808731,1,4,Dinosaur Planet
662870,1,5,Dinosaur Planet
337541,1,5,Dinosaur Planet
786312,1,3,Dinosaur Planet
1133214,1,4,Dinosaur Planet
1537427,1,4,Dinosaur Planet
1209954,1,5,Dinosaur Planet
2381599,1,3,Dinosaur Planet
525356,1,2,Dinosaur Planet
1910569,1,4,Dinosaur Planet
2263586,1,4,Dinosaur Planet
2421815,1,2,Dinosaur Planet
1009622,1,1,Dinosaur Planet
1481961,1,2,Dinosaur Planet
401047,1,4,Dinosaur Planet
2179073,1,3,Dinosaur Planet
1434636,1,3,Dinosaur Planet
93986,1,5,Dinosaur Planet
1308744,1,5,Dinosaur Planet
2647871,1,4,Dinosaur Planet
1905581,1,5,Dinosaur Planet
2508819,1,3,Dinosaur Planet
1578279,1,1,Dinosaur Planet
1159695,1,4,Dinosaur Planet
2588432,1,3,Dinosaur Planet
2423091,1,3,Dinosaur Planet
470232,1,4,Dinosaur Planet
2148699,1,2,Dinosaur Planet
1342007,1,3,Dinosaur Planet
466135,1,4,Dinosaur Planet
2472440,1,3,Dinosaur Planet
1283744,1,3,Dinosaur Planet
1927580,1,4,Dinosaur Planet
716874,1,5,Dinosaur Planet
4326,1,4,Dinosaur Planet
1546549,1,5,Dinosaur Planet
1493697,1,1,Dinosaur Planet
880166,1,5,Dinosaur Planet
535396,1,2,Dinosaur Planet
494609,1,4,Dinosaur Planet
1961619,1,5,Dinosaur Planet
883478,1,4,Dinosaur Planet
793564,1,4,Dinosaur Planet
1567202,1,2,Dinosaur Planet
573537,1,4,Dinosaur Planet
1972040,1,4,Dinosaur Planet
1838912,1,3,Dinosaur Planet
411705,1,4,Dinosaur Planet
2244518,1,5,Dinosaur Planet
584542,1,5,Dinosaur Planet
667730,1,5,Dinosaur Planet
2488120,1,5,Dinosaur Planet
1926776,1,1,Dinosaur Planet
38052,1,3,Dinosaur Planet
1196100,1,4,Dinosaur Planet
314933,1,3,Dinosaur Planet
1792741,1,2,Dinosaur Planet
769643,1,1,Dinosaur Planet
2477242,1,5,Dinosaur Planet
1421006,1,3,Dinosaur Planet
729846,1,4,Dinosaur Planet
1719610,1,2,Dinosaur Planet
1696031,1,4,Dinosaur Planet
1817215,1,4,Dinosaur Planet
406057,1,4,Dinosaur Planet
636262,1,1,Dinosaur Planet
1245406,1,4,Dinosaur Planet
1834590,1,3,Dinosaur Planet
593225,1,3,Dinosaur Planet
1011918,1,4,Dinosaur Planet
1665054,1,4,Dinosaur Planet
2630337,1,5,Dinosaur Planet
1155747,1,3,Dinosaur Planet
2439493,1,1,Dinosaur Planet
479924,1,5,Dinosaur Planet
530789,1,5,Dinosaur Planet
765860,1,4,Dinosaur Planet
231001,1,3,Dinosaur Planet
1493615,1,5,Dinosaur Planet
1850615,1,2,Dinosaur Planet
68959,1,3,Dinosaur Planet
147386,1,5,Dinosaur Planet
624035,1,5,Dinosaur Planet
782308,1,5,Dinosaur Planet
1116080,1,5,Dinosaur Planet
421374,1,5,Dinosaur Planet
1158759,1,4,Dinosaur Planet
1025798,1,3,Dinosaur Planet
1215397,1,5,Dinosaur Planet
2475251,1,4,Dinosaur Planet
321111,1,2,Dinosaur Planet
2162676,1,3,Dinosaur Planet
2635437,1,4,Dinosaur Planet
2389367,1,1,Dinosaur Planet
485622,1,5,Dinosaur Planet
235553,1,4,Dinosaur Planet
831869,1,4,Dinosaur Planet
99400,1,5,Dinosaur Planet
684876,1,4,Dinosaur Planet
1871179,1,3,Dinosaur Planet
1107678,1,5,Dinosaur Planet
642036,1,3,Dinosaur Planet
700890,1,5,Dinosaur Planet
2289956,1,5,Dinosaur Planet
2040859,1,1,Dinosaur Planet
1524964,1,3,Dinosaur Planet
121318,1,4,Dinosaur Planet
317050,1,5,Dinosaur Planet
2287003,1,5,Dinosaur Planet
59052,1,2,Dinosaur Planet
893742,1,4,Dinosaur Planet
1346257,1,3,Dinosaur Planet
55016,1,3,Dinosaur Planet
30245,1,5,Dinosaur Planet
743633,1,4,Dinosaur Planet
1596531,1,5,Dinosaur Planet
1125499,1,5,Dinosaur Planet
706832,1,4,Dinosaur Planet
2465337,1,3,Dinosaur Planet
2291422,1,1,Dinosaur Planet
1777406,1,3,Dinosaur Planet
1904905,1,4,Dinosaur Planet
2450433,1,3,Dinosaur Planet
1348967,1,2,Dinosaur Planet
638020,1,3,Dinosaur Planet
2217779,1,4,Dinosaur Planet
194280,1,1,Dinosaur Planet
493009,1,4,Dinosaur Planet
1567167,1,4,Dinosaur Planet
850327,1,5,Dinosaur Planet
520386,1,3,Dinosaur Planet
320540,1,2,Dinosaur Planet
1188228,1,2,Dinosaur Planet
57961,1,4,Dinosaur Planet
1113230,1,3,Dinosaur Planet
1374216,1,2,Dinosaur Planet
595778,1,3,Dinosaur Planet
209573,1,4,Dinosaur Planet
2354601,1,5,Dinosaur Planet
2563596,1,4,Dinosaur Planet
835265,1,4,Dinosaur Planet
1819474,1,3,Dinosaur Planet
1447104,1,3,Dinosaur Planet
1100940,1,1,Dinosaur Planet
143274,1,3,Dinosaur Planet
2329565,1,4,Dinosaur Planet
181592,1,4,Dinosaur Planet
936396,1,2,Dinosaur Planet
1125797,1,3,Dinosaur Planet
2283366,1,3,Dinosaur Planet
514495,1,4,Dinosaur Planet
1772176,1,3,Dinosaur Planet
1877347,1,4,Dinosaur Planet
1287892,1,4,Dinosaur Planet
